Date,Description,Category,Amount
2022-08-12,"Transaction 4268","Cable TV",-23.32
2022-08-17,"Transaction 4269",Entertainment,-27.55
2022-04-05,"Transaction 4270",Daycare,-29.60
2023-01-08,"Transaction 4271",Income,637.78
2022-01-12,"Transaction 4272","Auto Loan",-12.82
2022-11-07,"Transaction 4273",Groceries,-39.36
2022-06-17,"Transaction 4274",Groceries,-29.97
2022-06-23,"Transaction 4275","Dental Care",-49.98
2023-09-18,"Transaction 4276","Auto Loan",-11.15
2024-01-20,"Transaction 4277",Groceries,-46.39
2022-06-14,"Transaction 4278",Income,383.85
2022-12-25,"Transaction 4279","Auto Loan",-30.27
2023-11-05,"Transaction 4280",Daycare,-41.71
2022-02-23,"Transaction 4281","Cable TV",-31.93
2022-06-06,"Transaction 4282",Groceries,-16.73
2022-12-22,"Transaction 4283",Daycare,-17.81
2022-02-03,"Transaction 4284","Cable TV",-16.01
2023-07-28,"Transaction 4285","Auto Loan",-29.20
2023-01-12,"Transaction 4286",Income,361.76
2023-09-14,"Transaction 4287","Auto Loan",-42.65
2023-05-04,"Transaction 4288","Dental Care",-27.32
2023-11-13,"Transaction 4289",Income,874.71
2023-01-04,"Transaction 4290","Dental Care",-28.40
2022-10-22,"Transaction 4291","Auto Loan",-38.38
2022-01-20,"Transaction 4292",Income,645.44
2022-07-30,"Transaction 4293",Groceries,-42.88
2022-12-03,"Transaction 4294","Coffee Shops",-19.78
2023-04-15,"Transaction 4295",Daycare,-49.94
2022-06-23,"Transaction 4296","Auto Loan",-24.25
2022-03-16,"Transaction 4297","Dental Care",-23.73
2024-01-07,"Transaction 4298","Auto Loan",-19.95
2022-12-28,"Transaction 4299","Dental Care",-31.80
2023-12-25,"Transaction 4300","Dental Care",-48.14
2023-01-19,"Transaction 4301",Income,905.63
2023-09-15,"Transaction 4302","Dental Care",-43.56
2022-11-20,"Transaction 4303",Daycare,-37.46
2023-05-19,"Transaction 4304","Coffee Shops",-19.71
2023-04-22,"Transaction 4305","Cable TV",-20.86
2023-12-19,"Transaction 4306","Dental Care",-40.14
2022-09-22,"Transaction 4307","Cable TV",-46.50
2023-03-31,"Transaction 4308",Daycare,-31.03
2023-12-12,"Transaction 4309",Entertainment,-41.39
2022-08-05,"Transaction 4310","Dental Care",-22.37
2023-08-31,"Transaction 4311","Dental Care",-29.77
2023-07-05,"Transaction 4312",Income,209.13
2022-09-12,"Transaction 4313",Groceries,-42.90
2022-04-26,"Transaction 4314",Entertainment,-29.06
2023-09-11,"Transaction 4315","Auto Loan",-24.79
2023-10-17,"Transaction 4316",Daycare,-12.52
2023-10-18,"Transaction 4317","Coffee Shops",-27.55
2022-09-21,"Transaction 4318",Income,732.78
2022-04-19,"Transaction 4319",Income,966.64
2023-02-06,"Transaction 4320","Cable TV",-28.93
2022-03-09,"Transaction 4321","Dental Care",-29.26
2023-06-21,"Transaction 4322",Daycare,-47.02
2022-12-20,"Transaction 4323","Dental Care",-20.82
2024-01-18,"Transaction 4324",Daycare,-39.33
2023-03-06,"Transaction 4325",Entertainment,-10.41
2022-07-31,"Transaction 4326","Cable TV",-23.23
2022-10-28,"Transaction 4327","Cable TV",-18.71
2022-08-02,"Transaction 4328","Auto Loan",-33.57
2023-08-05,"Transaction 4329",Daycare,-13.95
2022-02-18,"Transaction 4330","Coffee Shops",-40.99
2023-03-06,"Transaction 4331",Daycare,-23.30
2023-11-08,"Transaction 4332",Entertainment,-37.17
2022-07-06,"Transaction 4333",Entertainment,-14.76
2023-09-23,"Transaction 4334","Cable TV",-47.25
2022-01-14,"Transaction 4335","Coffee Shops",-13.42
2022-02-08,"Transaction 4336",Entertainment,-36.46
2023-03-19,"Transaction 4337",Groceries,-41.19
2022-09-12,"Transaction 4338",Daycare,-37.15
2023-04-04,"Transaction 4339","Cable TV",-47.67
2022-08-13,"Transaction 4340",Daycare,-39.61
2023-01-10,"Transaction 4341",Entertainment,-32.90
2023-09-07,"Transaction 4342",Daycare,-38.51
2022-06-07,"Transaction 4343",Groceries,-23.00
2023-04-27,"Transaction 4344",Entertainment,-14.25
2022-06-11,"Transaction 4345","Cable TV",-44.15
2022-04-09,"Transaction 4346","Auto Loan",-40.09
2023-04-23,"Transaction 4347",Entertainment,-15.85
2022-01-19,"Transaction 4348","Cable TV",-21.99
2022-06-19,"Transaction 4349","Dental Care",-40.30
2023-10-22,"Transaction 4350","Cable TV",-40.26
2022-09-10,"Transaction 4351",Groceries,-45.26
2023-02-18,"Transaction 4352",Entertainment,-19.22
2022-01-28,"Transaction 4353","Dental Care",-48.13
2023-12-23,"Transaction 4354","Cable TV",-46.89
2023-06-09,"Transaction 4355",Income,883.94
2023-03-15,"Transaction 4356",Daycare,-41.51
2022-09-21,"Transaction 4357",Income,360.74
2023-06-03,"Transaction 4358","Cable TV",-10.87
2024-01-14,"Transaction 4359","Dental Care",-45.46
2022-08-10,"Transaction 4360",Groceries,-42.09
2022-12-03,"Transaction 4361",Groceries,-42.87
2023-11-06,"Transaction 4362","Auto Loan",-27.32
2022-05-20,"Transaction 4363",Income,381.09
2023-07-01,"Transaction 4364","Coffee Shops",-15.66
2023-11-25,"Transaction 4365","Auto Loan",-25.43
2022-10-31,"Transaction 4366","Auto Loan",-29.67
2023-12-08,"Transaction 4367",Income,563.00
2022-04-26,"Transaction 4368",Income,725.93
2024-02-03,"Transaction 4369","Auto Loan",-31.66
2022-08-18,"Transaction 4370",Daycare,-28.87
2023-01-11,"Transaction 4371","Coffee Shops",-38.74
2022-02-18,"Transaction 4372","Dental Care",-41.45
2022-09-26,"Transaction 4373","Auto Loan",-49.64
2023-03-23,"Transaction 4374",Entertainment,-11.45
2024-01-03,"Transaction 4375",Entertainment,-10.44
2022-02-15,"Transaction 4376",Groceries,-14.26
2022-09-07,"Transaction 4377",Income,610.13
2022-06-09,"Transaction 4378",Daycare,-43.19
2024-01-20,"Transaction 4379",Groceries,-45.11
2022-03-20,"Transaction 4380","Coffee Shops",-47.85
2022-04-12,"Transaction 4381",Groceries,-35.23
2023-07-29,"Transaction 4382","Dental Care",-31.13
2024-01-29,"Transaction 4383","Dental Care",-22.44
2023-11-09,"Transaction 4384","Cable TV",-15.66
2023-06-13,"Transaction 4385",Entertainment,-25.47
2023-10-20,"Transaction 4386","Auto Loan",-44.90
2022-03-01,"Transaction 4387","Cable TV",-29.53
2024-02-24,"Transaction 4388","Dental Care",-48.97
2022-01-29,"Transaction 4389",Income,420.71
2022-01-30,"Transaction 4390","Coffee Shops",-25.71
2022-06-06,"Transaction 4391",Daycare,-31.68
2022-10-23,"Transaction 4392",Income,400.67
2022-10-28,"Transaction 4393","Coffee Shops",-41.59
2023-10-10,"Transaction 4394",Daycare,-39.48
2023-09-17,"Transaction 4395",Entertainment,-15.08
2023-03-19,"Transaction 4396","Auto Loan",-31.72
2022-07-31,"Transaction 4397",Income,826.91
2022-04-12,"Transaction 4398",Entertainment,-31.60
2022-12-31,"Transaction 4399",Income,366.39
2023-01-27,"Transaction 4400",Daycare,-42.02
2023-05-18,"Transaction 4401","Coffee Shops",-39.33
2023-08-13,"Transaction 4402","Cable TV",-12.05
2022-03-12,"Transaction 4403",Groceries,-43.31
2022-09-14,"Transaction 4404",Income,247.04
2023-07-02,"Transaction 4405","Dental Care",-40.15
2022-12-03,"Transaction 4406",Income,758.85
2023-09-07,"Transaction 4407",Daycare,-29.63
2024-01-01,"Transaction 4408","Coffee Shops",-33.65
2023-01-22,"Transaction 4409",Daycare,-28.27
2023-05-09,"Transaction 4410",Groceries,-10.69
2023-06-15,"Transaction 4411",Daycare,-16.48
2022-01-27,"Transaction 4412",Daycare,-44.56
2022-02-23,"Transaction 4413",Entertainment,-18.21
2022-02-03,"Transaction 4414","Coffee Shops",-46.07
2023-09-02,"Transaction 4415","Coffee Shops",-46.49
2023-03-04,"Transaction 4416",Income,892.86
2022-08-12,"Transaction 4417",Daycare,-35.92
2022-10-01,"Transaction 4418",Entertainment,-18.93
2022-12-12,"Transaction 4419",Groceries,-35.97
2023-12-17,"Transaction 4420","Auto Loan",-42.12
2023-03-02,"Transaction 4421",Daycare,-18.26
2022-11-25,"Transaction 4422","Auto Loan",-24.55
2024-02-05,"Transaction 4423","Cable TV",-31.23
2023-03-30,"Transaction 4424","Coffee Shops",-22.14
2023-10-22,"Transaction 4425",Groceries,-29.53
2022-03-05,"Transaction 4426","Cable TV",-48.42
2023-09-24,"Transaction 4427",Daycare,-29.00
2023-07-25,"Transaction 4428","Cable TV",-27.92
2022-02-13,"Transaction 4429",Groceries,-11.30
2023-09-03,"Transaction 4430","Dental Care",-32.14
2023-09-26,"Transaction 4431",Entertainment,-39.54
2022-12-24,"Transaction 4432",Income,350.35
2022-03-22,"Transaction 4433",Income,299.27
2022-09-14,"Transaction 4434",Income,491.82
2024-02-07,"Transaction 4435","Coffee Shops",-22.48
2022-10-01,"Transaction 4436",Entertainment,-26.51
2023-08-31,"Transaction 4437","Auto Loan",-44.44
2022-07-02,"Transaction 4438","Dental Care",-22.71
2022-12-13,"Transaction 4439",Groceries,-24.28
2022-06-06,"Transaction 4440","Coffee Shops",-19.65
2022-01-04,"Transaction 4441","Cable TV",-19.79
2023-05-21,"Transaction 4442","Cable TV",-40.03
2023-12-20,"Transaction 4443",Groceries,-24.89
2023-03-19,"Transaction 4444",Groceries,-16.61
2023-01-28,"Transaction 4445","Auto Loan",-45.54
2023-09-01,"Transaction 4446",Income,639.68
2022-11-30,"Transaction 4447","Auto Loan",-17.39
2022-09-24,"Transaction 4448",Groceries,-32.67
2024-01-16,"Transaction 4449","Cable TV",-45.78
2022-05-14,"Transaction 4450",Income,971.63
2023-12-04,"Transaction 4451",Groceries,-47.08
2023-03-18,"Transaction 4452","Coffee Shops",-34.39
2022-02-12,"Transaction 4453",Entertainment,-11.74
2023-11-16,"Transaction 4454",Groceries,-39.27
2024-01-27,"Transaction 4455","Cable TV",-21.47
2022-05-01,"Transaction 4456","Coffee Shops",-27.56
2024-01-11,"Transaction 4457",Entertainment,-30.42
2023-04-27,"Transaction 4458","Coffee Shops",-45.18
2022-12-21,"Transaction 4459","Cable TV",-21.84
2022-02-28,"Transaction 4460",Groceries,-20.58
2022-10-28,"Transaction 4461",Groceries,-47.42
2023-09-02,"Transaction 4462","Auto Loan",-25.67
2022-10-15,"Transaction 4463","Dental Care",-31.30
2022-03-12,"Transaction 4464","Auto Loan",-25.80
2024-01-21,"Transaction 4465","Auto Loan",-24.39
2023-12-29,"Transaction 4466",Daycare,-45.83
2022-02-02,"Transaction 4467",Income,887.30
2022-07-14,"Transaction 4468",Daycare,-46.82
2022-08-22,"Transaction 4469","Dental Care",-40.43
2023-05-26,"Transaction 4470","Auto Loan",-39.27
2022-07-12,"Transaction 4471",Groceries,-47.97
2022-06-04,"Transaction 4472","Dental Care",-39.56
2023-06-21,"Transaction 4473","Auto Loan",-23.44
2022-08-04,"Transaction 4474",Daycare,-13.16
2022-11-29,"Transaction 4475",Income,332.80
2023-12-05,"Transaction 4476","Auto Loan",-13.52
2022-04-15,"Transaction 4477","Auto Loan",-37.25
2023-08-02,"Transaction 4478","Cable TV",-23.57
2022-10-05,"Transaction 4479",Groceries,-22.40
2022-05-30,"Transaction 4480",Income,629.13
2022-12-07,"Transaction 4481","Dental Care",-47.17
2023-12-04,"Transaction 4482",Entertainment,-35.35
2023-12-02,"Transaction 4483",Daycare,-45.92
2023-10-18,"Transaction 4484",Income,224.20
2022-08-16,"Transaction 4485",Groceries,-30.75
2023-09-12,"Transaction 4486",Income,478.36
2023-12-21,"Transaction 4487",Income,201.18
2022-12-03,"Transaction 4488",Income,472.14
2022-05-24,"Transaction 4489",Daycare,-36.55
2023-05-04,"Transaction 4490","Coffee Shops",-11.77
2023-06-11,"Transaction 4491",Entertainment,-13.88
2022-03-05,"Transaction 4492","Coffee Shops",-30.02
2023-04-27,"Transaction 4493",Income,217.82
2023-02-28,"Transaction 4494",Income,618.40
2022-09-14,"Transaction 4495",Groceries,-15.33
2022-05-27,"Transaction 4496",Income,359.89
2023-05-04,"Transaction 4497","Coffee Shops",-17.43
2023-03-05,"Transaction 4498","Cable TV",-15.88
2022-07-09,"Transaction 4499",Groceries,-23.34
2023-08-18,"Transaction 4500","Cable TV",-17.72
2022-01-19,"Transaction 4501",Groceries,-49.80
2023-02-20,"Transaction 4502",Income,375.12
2023-06-26,"Transaction 4503","Auto Loan",-25.95
2022-03-19,"Transaction 4504","Dental Care",-37.98
2022-11-01,"Transaction 4505","Dental Care",-29.15
2022-06-04,"Transaction 4506","Dental Care",-47.80
2022-11-04,"Transaction 4507",Daycare,-49.62
2023-02-19,"Transaction 4508",Income,923.13
2023-04-12,"Transaction 4509","Coffee Shops",-20.57
2022-06-10,"Transaction 4510",Entertainment,-14.80
2022-08-17,"Transaction 4511","Auto Loan",-32.38
2022-12-15,"Transaction 4512",Daycare,-34.30
2022-07-02,"Transaction 4513","Auto Loan",-29.98
2022-01-25,"Transaction 4514",Daycare,-39.12
2022-05-13,"Transaction 4515","Coffee Shops",-32.50
2023-08-26,"Transaction 4516",Entertainment,-27.62
2023-03-21,"Transaction 4517",Daycare,-41.57
2023-10-05,"Transaction 4518","Coffee Shops",-23.96
2023-10-02,"Transaction 4519",Income,663.78
2023-05-23,"Transaction 4520",Income,639.50
2023-03-09,"Transaction 4521","Auto Loan",-48.05
2022-07-27,"Transaction 4522","Auto Loan",-42.21
2022-12-05,"Transaction 4523","Coffee Shops",-45.83
2022-08-03,"Transaction 4524",Groceries,-32.10
2023-01-26,"Transaction 4525",Income,352.52
2023-01-09,"Transaction 4526","Cable TV",-24.61
2022-11-08,"Transaction 4527",Income,590.00
2022-10-16,"Transaction 4528","Cable TV",-30.07
2023-09-11,"Transaction 4529","Coffee Shops",-43.55
2022-09-10,"Transaction 4530",Groceries,-11.48
2022-03-27,"Transaction 4531",Daycare,-26.95
2023-08-19,"Transaction 4532","Coffee Shops",-22.45
2023-12-15,"Transaction 4533",Groceries,-48.80
2024-02-03,"Transaction 4534","Coffee Shops",-47.02
2022-05-25,"Transaction 4535",Entertainment,-45.84
2022-05-31,"Transaction 4536","Dental Care",-34.41
2023-07-09,"Transaction 4537",Income,502.05
2024-02-08,"Transaction 4538","Cable TV",-15.04
2022-09-27,"Transaction 4539","Auto Loan",-33.44
2022-12-08,"Transaction 4540",Daycare,-45.09
2022-04-07,"Transaction 4541","Coffee Shops",-44.24
2022-12-01,"Transaction 4542",Entertainment,-47.14
2023-06-11,"Transaction 4543","Coffee Shops",-27.82
2023-03-10,"Transaction 4544",Groceries,-21.18
2023-04-12,"Transaction 4545",Entertainment,-46.38
2022-08-02,"Transaction 4546","Coffee Shops",-31.49
2022-08-02,"Transaction 4547",Daycare,-45.38
2022-06-18,"Transaction 4548","Cable TV",-22.54
2022-07-10,"Transaction 4549",Groceries,-29.16
2022-12-26,"Transaction 4550",Daycare,-27.60
2023-06-19,"Transaction 4551","Auto Loan",-41.06
2022-12-19,"Transaction 4552","Cable TV",-13.46
2022-08-29,"Transaction 4553","Dental Care",-37.96
2024-02-16,"Transaction 4554",Entertainment,-33.26
2024-01-23,"Transaction 4555",Daycare,-41.62
2022-09-28,"Transaction 4556",Entertainment,-14.41
2023-04-30,"Transaction 4557","Dental Care",-33.97
2022-01-29,"Transaction 4558",Income,331.73
2022-02-28,"Transaction 4559",Entertainment,-11.48
2023-05-11,"Transaction 4560","Cable TV",-27.75
2022-01-26,"Transaction 4561",Entertainment,-38.41
2022-05-18,"Transaction 4562",Entertainment,-28.45
2023-11-25,"Transaction 4563",Groceries,-29.01
2022-03-15,"Transaction 4564","Dental Care",-35.89
2023-06-05,"Transaction 4565",Daycare,-26.15
2023-06-23,"Transaction 4566",Groceries,-13.27
2023-03-05,"Transaction 4567","Auto Loan",-18.97
2022-08-26,"Transaction 4568",Entertainment,-37.15
2022-07-16,"Transaction 4569","Dental Care",-32.89
2024-02-20,"Transaction 4570","Coffee Shops",-45.03
2022-01-06,"Transaction 4571","Cable TV",-31.84
2024-01-15,"Transaction 4572",Daycare,-40.66
2023-03-06,"Transaction 4573",Income,849.72
2023-06-17,"Transaction 4574","Dental Care",-48.51
2023-05-10,"Transaction 4575",Daycare,-14.27
2024-02-12,"Transaction 4576","Auto Loan",-45.46
2023-10-24,"Transaction 4577",Daycare,-46.95
2024-02-18,"Transaction 4578",Groceries,-17.39
2022-02-18,"Transaction 4579","Cable TV",-43.13
2023-02-07,"Transaction 4580","Cable TV",-23.26
2024-01-08,"Transaction 4581","Cable TV",-41.06
2022-03-10,"Transaction 4582",Income,496.60
2023-02-17,"Transaction 4583",Income,538.01
2023-01-18,"Transaction 4584","Cable TV",-12.67
2023-11-24,"Transaction 4585","Cable TV",-36.88
2022-12-14,"Transaction 4586",Entertainment,-45.83
2022-06-05,"Transaction 4587","Auto Loan",-10.15
2022-04-08,"Transaction 4588",Income,387.45
2023-12-18,"Transaction 4589","Auto Loan",-14.51
2022-02-03,"Transaction 4590",Daycare,-20.89
2024-01-16,"Transaction 4591","Coffee Shops",-11.83
2022-03-17,"Transaction 4592","Coffee Shops",-38.90
2022-04-02,"Transaction 4593","Auto Loan",-24.96
2022-08-27,"Transaction 4594","Coffee Shops",-23.42
2022-01-30,"Transaction 4595","Cable TV",-48.18
2022-04-10,"Transaction 4596","Coffee Shops",-13.81
2024-01-01,"Transaction 4597","Dental Care",-10.67
2022-05-07,"Transaction 4598",Income,779.81
2023-04-27,"Transaction 4599",Income,872.87
2024-02-25,"Transaction 4600",Income,977.15
2022-08-15,"Transaction 4601","Dental Care",-20.85
2022-03-31,"Transaction 4602",Groceries,-10.20
2022-05-17,"Transaction 4603","Coffee Shops",-19.80
2023-05-30,"Transaction 4604",Entertainment,-32.77
2022-04-17,"Transaction 4605",Income,293.45
2022-05-15,"Transaction 4606","Dental Care",-47.78
2023-03-08,"Transaction 4607",Daycare,-16.70
2023-04-16,"Transaction 4608","Auto Loan",-28.26
2023-11-14,"Transaction 4609",Daycare,-12.53
2023-04-20,"Transaction 4610",Daycare,-31.53
2022-01-20,"Transaction 4611",Income,580.84
2023-09-08,"Transaction 4612","Coffee Shops",-46.23
2022-05-16,"Transaction 4613","Auto Loan",-37.42
2022-11-06,"Transaction 4614",Groceries,-46.29
2024-01-27,"Transaction 4615","Coffee Shops",-28.95
2022-07-24,"Transaction 4616","Coffee Shops",-35.07
2022-11-09,"Transaction 4617",Income,355.45
2022-10-29,"Transaction 4618","Coffee Shops",-43.31
2022-07-28,"Transaction 4619","Dental Care",-33.91
2022-11-19,"Transaction 4620","Dental Care",-23.49
2023-06-04,"Transaction 4621","Coffee Shops",-40.85
2024-02-27,"Transaction 4622","Cable TV",-12.20
2022-03-21,"Transaction 4623",Entertainment,-49.07
2022-08-26,"Transaction 4624","Auto Loan",-45.25
2023-09-30,"Transaction 4625","Auto Loan",-17.56
2022-03-13,"Transaction 4626","Dental Care",-23.46
2023-11-01,"Transaction 4627","Cable TV",-15.29
2023-06-11,"Transaction 4628","Cable TV",-45.40
2023-09-04,"Transaction 4629","Coffee Shops",-39.13
2023-08-06,"Transaction 4630",Daycare,-41.07
2024-02-13,"Transaction 4631","Auto Loan",-38.36
2024-01-01,"Transaction 4632","Cable TV",-47.26
2022-04-06,"Transaction 4633","Auto Loan",-23.92
2022-05-09,"Transaction 4634","Dental Care",-22.74
2023-12-22,"Transaction 4635",Groceries,-45.35
2022-12-07,"Transaction 4636",Income,531.15
2022-06-04,"Transaction 4637",Groceries,-40.36
2023-03-10,"Transaction 4638","Auto Loan",-19.67
2022-06-11,"Transaction 4639","Auto Loan",-34.82
2023-06-05,"Transaction 4640",Income,861.60
2022-04-16,"Transaction 4641",Daycare,-45.73
2022-06-07,"Transaction 4642",Entertainment,-32.20
2023-02-09,"Transaction 4643","Auto Loan",-46.47
2023-06-15,"Transaction 4644",Entertainment,-27.67
2024-01-27,"Transaction 4645",Income,303.07
2022-06-13,"Transaction 4646","Cable TV",-39.02
2022-04-16,"Transaction 4647","Cable TV",-15.37
2022-11-02,"Transaction 4648","Cable TV",-34.59
2023-12-18,"Transaction 4649",Groceries,-13.80
2022-04-03,"Transaction 4650","Dental Care",-16.86
2022-08-18,"Transaction 4651","Dental Care",-17.10
2022-02-18,"Transaction 4652",Groceries,-15.11
2023-10-19,"Transaction 4653",Income,429.85
2022-02-07,"Transaction 4654","Dental Care",-33.49
2022-09-03,"Transaction 4655","Coffee Shops",-23.49
2022-11-21,"Transaction 4656",Groceries,-35.20
2023-11-02,"Transaction 4657",Daycare,-44.50
2023-11-16,"Transaction 4658","Dental Care",-49.77
2022-01-21,"Transaction 4659",Groceries,-30.08
2023-12-18,"Transaction 4660","Dental Care",-13.61
2023-05-09,"Transaction 4661","Dental Care",-13.36
2024-01-01,"Transaction 4662",Entertainment,-29.74
2022-06-15,"Transaction 4663",Entertainment,-42.94
2023-04-15,"Transaction 4664","Coffee Shops",-45.25
2023-04-10,"Transaction 4665",Groceries,-38.49
2023-09-29,"Transaction 4666","Cable TV",-16.94
2023-02-03,"Transaction 4667",Entertainment,-18.75
2023-01-05,"Transaction 4668","Coffee Shops",-33.90
2022-02-11,"Transaction 4669","Dental Care",-44.20
2023-03-16,"Transaction 4670",Entertainment,-30.36
2022-03-21,"Transaction 4671","Auto Loan",-26.83
2022-08-23,"Transaction 4672","Cable TV",-49.66
2022-09-28,"Transaction 4673",Income,919.99
2023-08-02,"Transaction 4674","Dental Care",-20.48
2024-02-11,"Transaction 4675","Dental Care",-45.88
2022-04-26,"Transaction 4676","Dental Care",-12.79
2023-07-16,"Transaction 4677","Dental Care",-26.86
2022-03-09,"Transaction 4678","Dental Care",-23.95
2023-04-24,"Transaction 4679","Coffee Shops",-46.36
2023-03-19,"Transaction 4680",Daycare,-33.26
2022-04-03,"Transaction 4681",Entertainment,-19.15
2022-12-19,"Transaction 4682",Groceries,-34.25
2023-11-07,"Transaction 4683","Dental Care",-14.56
2023-01-03,"Transaction 4684","Coffee Shops",-40.66
2023-06-11,"Transaction 4685",Daycare,-45.37
2023-01-30,"Transaction 4686",Daycare,-23.65
2022-06-26,"Transaction 4687","Coffee Shops",-39.90
2024-02-08,"Transaction 4688",Entertainment,-37.78
2023-10-23,"Transaction 4689",Entertainment,-11.24
2022-12-14,"Transaction 4690","Auto Loan",-17.22
2022-10-22,"Transaction 4691","Coffee Shops",-12.80
2024-01-21,"Transaction 4692",Daycare,-45.08
2023-07-14,"Transaction 4693",Entertainment,-33.26
2022-11-08,"Transaction 4694",Income,864.80
2023-07-01,"Transaction 4695","Dental Care",-42.01
2022-10-23,"Transaction 4696","Cable TV",-40.70
2022-11-13,"Transaction 4697",Groceries,-27.82
2022-05-31,"Transaction 4698",Income,860.88
2023-11-04,"Transaction 4699",Entertainment,-36.92
2023-05-24,"Transaction 4700","Coffee Shops",-36.41
2023-12-05,"Transaction 4701","Coffee Shops",-26.81
2022-01-01,"Transaction 4702","Cable TV",-48.36
2022-09-20,"Transaction 4703",Income,365.94
2022-01-21,"Transaction 4704",Income,289.61
2023-11-08,"Transaction 4705",Income,400.50
2023-05-29,"Transaction 4706","Dental Care",-26.41
2023-01-31,"Transaction 4707",Groceries,-12.36
2023-10-02,"Transaction 4708",Daycare,-24.28
2023-11-30,"Transaction 4709",Groceries,-39.11
2023-02-27,"Transaction 4710","Coffee Shops",-25.27
2023-01-01,"Transaction 4711",Groceries,-37.59
2022-01-19,"Transaction 4712","Cable TV",-32.14
2023-12-03,"Transaction 4713","Cable TV",-39.59
2022-05-01,"Transaction 4714","Auto Loan",-23.56
2022-05-09,"Transaction 4715","Dental Care",-23.28
2022-03-08,"Transaction 4716",Daycare,-34.91
2023-05-21,"Transaction 4717","Cable TV",-40.99
2023-02-19,"Transaction 4718",Income,801.01
2023-11-08,"Transaction 4719","Dental Care",-35.85
2023-11-15,"Transaction 4720","Coffee Shops",-20.10
2022-11-16,"Transaction 4721","Coffee Shops",-20.12
2024-01-21,"Transaction 4722","Dental Care",-39.05
2022-07-07,"Transaction 4723",Income,648.06
2023-10-11,"Transaction 4724","Dental Care",-43.63
2022-02-24,"Transaction 4725","Auto Loan",-10.18
2023-08-21,"Transaction 4726",Income,261.53
2023-12-04,"Transaction 4727",Income,380.38
2023-09-11,"Transaction 4728",Daycare,-40.75
2023-04-28,"Transaction 4729",Entertainment,-36.27
2023-01-31,"Transaction 4730","Auto Loan",-46.95
2023-08-12,"Transaction 4731","Dental Care",-26.12
2023-02-23,"Transaction 4732",Income,894.75
2023-08-08,"Transaction 4733",Daycare,-19.51
2023-10-21,"Transaction 4734",Entertainment,-30.70
2023-02-21,"Transaction 4735","Auto Loan",-13.17
2022-03-23,"Transaction 4736",Daycare,-13.45
2023-12-03,"Transaction 4737","Dental Care",-12.64
2022-11-30,"Transaction 4738",Daycare,-39.49
2022-02-07,"Transaction 4739",Daycare,-18.60
2022-10-26,"Transaction 4740",Income,229.24
2023-01-13,"Transaction 4741","Coffee Shops",-39.88
2023-07-06,"Transaction 4742","Auto Loan",-18.47
2023-12-13,"Transaction 4743",Entertainment,-25.19
2023-10-24,"Transaction 4744",Daycare,-29.32
2022-03-30,"Transaction 4745","Auto Loan",-32.00
2023-03-06,"Transaction 4746",Daycare,-18.02
2023-10-17,"Transaction 4747",Income,646.98
2022-10-03,"Transaction 4748",Groceries,-14.06
2022-05-19,"Transaction 4749","Cable TV",-23.08
2023-10-17,"Transaction 4750","Dental Care",-35.34
2023-05-14,"Transaction 4751","Dental Care",-44.29
2022-06-18,"Transaction 4752","Cable TV",-22.91
2022-12-08,"Transaction 4753","Coffee Shops",-32.45
2023-09-23,"Transaction 4754","Auto Loan",-44.62
2022-02-16,"Transaction 4755",Income,753.12
2022-10-07,"Transaction 4756",Daycare,-14.26
2022-04-14,"Transaction 4757",Groceries,-12.38
2022-05-11,"Transaction 4758","Dental Care",-27.61
2023-12-18,"Transaction 4759","Dental Care",-18.54
2022-11-04,"Transaction 4760",Entertainment,-45.40
2024-02-24,"Transaction 4761","Auto Loan",-41.07
2022-10-11,"Transaction 4762","Cable TV",-38.74
2023-08-04,"Transaction 4763","Cable TV",-28.55
2022-07-30,"Transaction 4764","Auto Loan",-48.94
2024-02-22,"Transaction 4765",Daycare,-46.44
2023-10-30,"Transaction 4766",Groceries,-46.70
2024-02-16,"Transaction 4767",Entertainment,-21.48
2023-07-09,"Transaction 4768",Groceries,-10.55
2023-07-04,"Transaction 4769",Entertainment,-25.21
2024-02-26,"Transaction 4770",Entertainment,-32.37
2022-10-23,"Transaction 4771","Auto Loan",-48.32
2022-07-04,"Transaction 4772","Dental Care",-36.16
2024-02-04,"Transaction 4773","Coffee Shops",-19.99
2023-05-28,"Transaction 4774",Entertainment,-43.23
2023-10-03,"Transaction 4775",Daycare,-36.93
2022-02-27,"Transaction 4776","Cable TV",-17.15
2023-05-27,"Transaction 4777",Daycare,-23.35
2023-10-22,"Transaction 4778","Cable TV",-46.55
2022-05-10,"Transaction 4779","Coffee Shops",-44.43
2024-01-02,"Transaction 4780","Cable TV",-28.99
2022-10-15,"Transaction 4781",Income,876.03
2023-09-04,"Transaction 4782","Dental Care",-38.15
2022-12-17,"Transaction 4783",Daycare,-42.29
2022-01-17,"Transaction 4784",Groceries,-34.57
2023-02-14,"Transaction 4785",Entertainment,-30.51
2023-08-01,"Transaction 4786",Daycare,-11.83
2022-08-18,"Transaction 4787",Daycare,-29.10
2022-03-02,"Transaction 4788","Dental Care",-47.66
2022-07-03,"Transaction 4789","Auto Loan",-28.64
2023-11-12,"Transaction 4790","Dental Care",-31.35
2023-04-05,"Transaction 4791",Daycare,-40.26
2022-02-09,"Transaction 4792",Entertainment,-25.24
2022-10-21,"Transaction 4793",Groceries,-30.76
2022-12-09,"Transaction 4794","Dental Care",-35.50
